ID,nest_name,nest_status,tree_species,country,canton,elev_swiss_maps,coordX,coordY,municipality,location
637,Tafers_Wierli,present,Abies alba (Silver fir),Switzerland,FR,713.1,7.239264965,46.82546788,Tafers,Wierli
638,Lanzenhäusern_Buttnigen_20,nest gone,Abies alba (Silver fir),Switzerland,BE,711.6,7.372137762,46.83936655,Lanzenhäusern,Buttnigen
639,Wahlern_Neuhaus,tree gone,Picea abies (Norwegian Spruce),Switzerland,BE,814.7,7.346524921,46.83649172,Wahlern,Neuhaus
640,St. Ursen_Stockhölz_20,nest gone,Abies alba (Silver fir),Switzerland,FR,753.8,7.227951583,46.78677651,St. Ursen,Stockhölz
641,Rechthalten_Weissenstein_20,active_24,Picea abies (Norwegian Spruce),Switzerland,FR,917,7.252434756,46.77038865,Rechthalten,Weissenstein
642,Brunisried_Wilersguet,nest gone,Abies alba (Silver fir),Switzerland,FR,853,7.289183516,46.7713164,Brunisried,Wilersguet
642,Brunisried_Wilersguet,nest gone,Abies alba (Silver fir),Switzerland,FR,853,7.289183516,46.7713164,Brunisried,Wilersguet
643,Guggisberg_Underbalm_20,present,Abies alba (Silver fir),Switzerland,BE,1062.8,7.344083197,46.75002617,Guggisberg,Underbalm
644,Heitenried_Magdalenaholz,nest gone,Fagus sylvatica (Beech),Switzerland,FR,752.4,7.301723788,46.83251672,Heitenried,Magdalenaholz
645,Cordast_Buillardholz_20,present,Pinus sylvestris (Scots pine),Switzerland,FR,634.5,7.162904913,46.87973964,Cordast,Buillardholz
646,Bösingen_Riederbergholz,present,Fagus sylvatica (Beech),Switzerland,FR,592.6,7.230967649,46.88597768,Bösingen,Riederbergholz
647,Mamishaus_Tännlenen,present,Picea abies (Norwegian Spruce),Switzerland,BE,796.7,7.378039381,46.81444629,Mamishaus,Tännlenen
648,Tafers_Brunnenberg_20,present,Abies alba (Silver fir),Switzerland,FR,764.2,7.239175755,46.81137379,Tafers,Brunnenberg
649,St.Ursen_Schwandholz,present,Abies alba (Silver fir),Switzerland,FR,716.8,7.216097705,46.78688946,St.Ursen,Schwandholz
650,Plaffeien_Jostrüti_20,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,905.3,7.288766752,46.72681975,Plaffeien,Jostrüti
651,Kalchstätten_Kirchhalten_20,active,Picea abies (Norwegian Spruce),Switzerland,BE,1087.6,7.318479211,46.77267199,Kalchstätten,Kirchhalten
652,Wahlern_Gänsemoos_20,active,Abies alba (Silver fir),Switzerland,BE,841.6,7.350294223,46.83527284,Wahlern,Gänsemoos
